Site_ID,SMU,Pop,Latitude,Longitude,SiteLength,SiteWidth,SurfaceArea,Max_Depth,Ave_Max_D,Gradient,Elev,NLCD_Cat,Canopy,Herbaceous,Ann_Herb,BASS_LM,BASS_UNID,BR_BULLHE,CHISELMO,DACE_CR,DACE_LN,DACE_SP,DACE_UNID,LAMP_AMMO,LAMP_GL,LAMP_PK,LAMP_UNID,MINN_FATH,MINN_PROA,MINN_TUIC,MINN_UNID,PERC_YELL,SCULP_MO,SCULP_PI,SCULP_UNID,SHINER_GO,SHINER_RS,SUCKER_BL,SUCKER_GL,SUCKER_LS,SUCKER_MO,SUCKER_UNID,SUCKER_WA,SUNFISH,TROUT_BR,TROUT_RB,TROUT_UNID,WHITFISH
Rock-003,Catlow,Rock,42.47919676,-119.7061746,40,1,40,0.45,0.29,0.055,1915,Shrub-Scrub,0,29.02,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0
Rock-005,Catlow,Rock,42.54835859,-119.6544678,45,1,45,0.31,0.29,0.013,1708,Shrub-Scrub,0,8.72,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0
Rock-007,Catlow,Rock,42.49832123,-119.6890627,30,1,30,0.2,0.13,0.022,1812,Wetlands-Woody,2.9,51.25,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
Rock-009,Catlow,Rock,42.55494658,-119.6491809,30,1,30,0.32,0.22,0.004,1700,Shrub-Scrub,0,25.27,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
Rock-010,Catlow,Rock,42.50805211,-119.6915125,30,1,30,1.2,0.45,0.02,1791,Forest-Evergreen,21.31,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0
Rock-011,Catlow,Rock,42.49384534,-119.6944438,30,1,30,0.8,0.16,0.03,1831,Shrub-Scrub,13.03,22.4,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0
Rock-014,Catlow,Rock,42.52081932,-119.688141,38,1,38,1.1,0.2,0.016,1771,Shrub-Scrub,3.03,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,0
Chewaucan-0001,Chewaucan,Chewaucan,42.46453354,-120.5079939,30,0.27,8,0.08,0.06,0.171,1830,Forest-Evergreen,39.18,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chewaucan-0002,Chewaucan,Chewaucan,42.66952927,-120.5872594,108,12,1296,0.7,0.52,0.016,1386,Shrub-Scrub,11.1,NA,NA,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0
Chewaucan-0004,Chewaucan,Chewaucan,42.48960926,-120.7106092,NA,NA,NA,NA,NA,0.026,1752,Shrub-Scrub,36.31,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Chewaucan-0005,Chewaucan,Chewaucan,42.47328525,-120.623621,100,4,400,1,0.52,0,1577,Wetlands-Emergent,20.82,NA,NA,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chewaucan-0006,Chewaucan,Chewaucan,42.55166104,-120.6667237,80,3,240,0.48,0.37,0.073,1610,Forest-Evergreen,48.22,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0
Chewaucan-0007,Chewaucan,Chewaucan,42.58809356,-120.7775316,30,1,30,0.2,0.17,0.02,2072,Forest-Evergreen,24.86,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Chewaucan-0008,Chewaucan,Chewaucan,42.4219075,-120.6890823,30,1,30,0.35,0.22,0.071,1707,Forest-Evergreen,46.92,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,0,0
Chewaucan-0010,Chewaucan,Chewaucan,42.60504152,-120.7329837,NA,NA,NA,NA,NA,0.013,1986,Forest-Evergreen,39.37,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
Chewaucan-0011,Chewaucan,Chewaucan,42.50416328,-120.7016926,94,3,282,0.45,0.36,0.051,1761,Shrub-Scrub,34.4,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,0
